"","id","enrollment_data_score","retention_data_score","price_data_score","ratio_data_score","enrollment_trend","price_trend","retention_trend","ratio_trend","total"
"1075",233426,0,0,0,0,0,0,0,0,0
"1076",233541,0,0,0,0,0,0,0,0,0
"1077",233611,1,0,0,0,0,0,0,0,0
"1078",233718,1,1,0,0,2,0,2,0,4
"1079",234137,1,1,1,1,2,0,0,0,2
"1080",234164,0,1,0,0,2,0,0,0,2
"1081",234173,0,1,0,0,1,0,0,0,1
"1082",234207,0,0,1,0,0,0,0,0,0
"1083",234915,0,1,1,1,NA,NA,NA,NA,NA
"1084",235024,1,0,0,0,2,0,0,0,2
"1085",235316,0,0,0,0,0,0,0,0,0
"1086",235422,1,1,1,0,0,2,0,0,2
"1087",236133,0,0,1,1,0,0,0,1,1
"1088",236230,0,0,0,0,0,0,0,0,0
"1089",236328,0,0,0,0,0,0,0,0,0
"1090",236452,1,0,1,0,0,0,0,0,0
"1091",236577,0,0,0,0,1,0,0,0,1
"1092",236595,0,0,0,0,0,0,0,0,0
"1093",236896,0,0,1,0,0,0,0,0,0
"1094",237057,0,0,0,0,0,0,0,0,0
"1095",237066,0,0,0,0,0,0,0,0,0
"1096",237118,0,1,0,1,0,0,2,2,4
"1097",237136,0,0,1,0,2,0,0,0,2
"1098",237181,1,1,0,0,2,0,0,0,2
"1099",237312,0,1,1,0,0,0,0,0,0
"1100",237358,0,1,0,0,0,0,0,0,0
"1101",237640,1,1,0,0,2,0,0,0,2
"1102",237905,0,0,0,1,NA,NA,NA,NA,NA
"1103",237969,0,0,0,0,1,0,0,0,1
"1104",238078,0,0,0,0,0,1,0,1,2
"1105",238193,0,0,0,0,0,0,0,0,0
"1106",238324,0,0,1,1,0,2,0,1,3
"1107",238333,0,0,0,0,0,0,0,0,0
"1108",238430,0,0,1,1,0,2,0,1,3
"1109",238458,0,0,0,0,1,0,0,0,1
"1110",238476,0,0,0,0,0,0,0,0,0
"1111",238616,0,0,0,0,0,0,0,0,0
"1112",238661,0,0,0,0,1,0,0,0,1
"1113",238980,0,0,1,0,0,0,0,0,0
"1114",239017,0,0,0,0,0,0,0,0,0
"1115",239071,1,0,0,0,2,0,0,0,2
"1116",239080,1,0,0,0,0,0,0,0,0
"1117",239105,0,0,0,0,0,0,0,0,0
"1118",239309,0,0,1,0,0,0,0,0,0
"1119",239318,0,0,1,0,0,1,0,0,1
"1120",239390,0,0,0,0,0,0,0,0,0
"1121",239512,0,0,1,0,0,0,0,0,0
"1122",239628,0,0,0,0,0,0,0,0,0
"1123",239716,0,0,0,0,0,0,0,0,0
"1124",239743,0,1,0,0,0,0,0,0,0
"1125",240107,0,0,0,0,1,0,0,0,1
"1126",240338,0,0,0,0,0,0,0,0,0
"1127",240392,1,1,0,1,NA,NA,NA,NA,NA
"1128",241100,1,1,0,1,NA,NA,NA,NA,NA
"1129",241128,1,1,0,1,NA,NA,NA,NA,NA
"1130",241191,1,0,1,0,2,0,0,0,2
"1131",241216,0,0,1,1,NA,NA,NA,NA,NA
"1132",241225,1,1,0,1,2,0,2,2,6
"1133",241331,1,0,0,0,2,0,2,0,4
"1134",241377,1,0,0,1,2,0,0,2,4
"1135",241386,1,1,1,1,2,1,0,2,5
"1136",241395,1,0,0,1,NA,NA,NA,NA,NA
"1137",241410,1,0,0,0,2,0,0,0,2
"1138",241614,0,1,0,1,NA,NA,NA,NA,NA
"1139",241739,0,0,0,0,2,0,0,0,2
"1140",241836,1,1,1,1,NA,NA,NA,NA,NA
"1141",242121,1,1,1,0,2,2,0,0,4
"1142",242617,0,0,1,1,NA,NA,NA,NA,NA
"1143",242626,0,0,1,1,NA,NA,NA,NA,NA
"1144",242635,1,0,1,1,NA,NA,NA,NA,NA
"1145",242644,0,0,1,1,NA,NA,NA,NA,NA
"1146",242653,1,0,1,1,NA,NA,NA,NA,NA
"1147",242662,0,0,1,1,NA,NA,NA,NA,NA
"1148",242680,0,0,1,1,NA,NA,NA,NA,NA
"1149",242699,0,0,1,1,NA,NA,NA,NA,NA
"1150",242705,0,0,1,1,NA,NA,NA,NA,NA
"1151",243346,1,0,0,0,2,0,0,0,2
"1152",243443,1,0,0,0,2,0,0,0,2
"1153",243568,0,0,0,0,0,0,0,0,0
"1154",243577,1,0,0,0,0,0,0,0,0
"1155",243586,0,0,0,1,NA,NA,NA,NA,NA
"1156",243601,0,0,0,0,2,0,0,0,2
"1157",243744,0,0,1,0,0,2,0,0,2
